resource_id,title,resource_type,sel_core_competency,education_stage,curriculum_108_competency,curriculum_108_area,curriculum_108_issue,curriculum_108_performance,curriculum_108_content,mapping_status,source,source_url,verification_status,license_or_access,notes
SEL-068,US ED Professional Learning,研習模組與講師素材,自我覺察,幼兒園;國小;國中;高中職;大專,A2;B1;C2,綜合活動領域,跨領域議題融入,待依教育階段與領域補填,依教育階段與學習領域進行課程融入；正式對應待審查。,建議對應／待審查,U.S. Department of Education,https://www.ed.gov/teaching-and-administration/educator-support/mental-health/social-emotional-learning,待直接頁面查核,公開閱讀,專業學習
SEL-069,US ED Equity and Belonging,學術文獻與實證,社會覺察,幼兒園;國小;國中;高中職;大專,A2;B1;C2,跨領域,跨領域議題融入,待依教育階段與領域補填,依教育階段與學習領域進行課程融入；正式對應待審查。,建議對應／待審查,U.S. Department of Education,https://www.ed.gov/teaching-and-administration/educator-support/mental-health/social-emotional-learning,待直接頁面查核,公開閱讀,歸屬與公平
SEL-070,US ED Implementation Examples,學術文獻與實證,自我覺察;自我管理;社會覺察;人際關係;負責任的決定,幼兒園;國小;國中;高中職;大專,A2;B1;C2,跨領域,跨領域議題融入,待依教育階段與領域補填,依教育階段與學習領域進行課程融入；正式對應待審查。,建議對應／待審查,U.S. Department of Education,https://www.ed.gov/teaching-and-administration/educator-support/mental-health/social-emotional-learning,待直接頁面查核,公開閱讀,政策案例
SEL-071,教育部 SEL 政策與計畫,學術文獻與實證,自我覺察;自我管理;社會覺察;人際關係;負責任的決定,幼兒園;國小;國中;高中職;大專,A1;B1;C1,跨領域,跨領域議題融入,待依教育階段與領域補填,依教育階段與學習領域進行課程融入；正式對應待審查。,建議對應／待審查,教育部,https://www.edu.tw/,待國內頁面查核,公開閱讀,需查核計畫版本與發布日期
SEL-072,教育部 友善校園,學術文獻與實證,人際關係,幼兒園;國小;國中;高中職;大專,A1;B1;C1,跨領域,跨領域議題融入,待依教育階段與領域補填,依教育階段與學習領域進行課程融入；正式對應待審查。,建議對應／待審查,教育部,https://www.edu.tw/,待國內頁面查核,公開閱讀,友善校園政策
SEL-073,教育部 學生輔導,學術文獻與實證,自我管理,幼兒園;國小;國中;高中職;大專,A1;B1;C1,跨領域,跨領域議題融入,待依教育階段與領域補填,依教育階段與學習領域進行課程融入；正式對應待審查。,建議對應／待審查,教育部,https://depart.moe.edu.tw/ED2800/,待國內頁面查核,公開閱讀,輔導與轉介
SEL-077,教育部 教師專業發展,研習模組與講師素材,自我覺察,幼兒園;國小;國中;高中職;大專,A2;B1;C2,綜合活動領域,跨領域議題融入,待依教育階段與領域補填,依教育階段與學習領域進行課程融入；正式對應待審查。,建議對應／待審查,教育部,https://www.edu.tw/,待國內頁面查核,公開閱讀,研習與專業社群
SEL-078,教育部 特殊教育與融合,學術文獻與實證,社會覺察,幼兒園;國小;國中;高中職;大專,A2;B1;C2,跨領域,跨領域議題融入,待依教育階段與領域補填,依教育階段與學習領域進行課程融入；正式對應待審查。,建議對應／待審查,教育部,https://depart.moe.gov.tw/ED2800/,待國內頁面查核,公開閱讀,融合教育
SEL-080,教育部 校園心理健康,學術文獻與實證,自我管理,幼兒園;國小;國中;高中職;大專,A1;B1;C1,跨領域,跨領域議題融入,待依教育階段與領域補填,依教育階段與學習領域進行課程融入；正式對應待審查。,建議對應／待審查,教育部,https://depart.moe.gov.tw/ED2800/,待國內頁面查核,公開閱讀,心理健康支持
SEL-081,國教院 十二年國教課綱,學術文獻與實證,自我覺察;自我管理;社會覺察;人際關係;負責任的決定,幼兒園;國小;國中;高中職;大專,A2;B1;C2,跨領域,跨領域議題融入,待依教育階段與領域補填,依教育階段與學習領域進行課程融入；正式對應待審查。,建議對應／待審查,國家教育研究院,https://www.naer.edu.tw/,待國內頁面查核,公開閱讀,核心素養對照
SEL-082,國教院 核心素養,學術文獻與實證,負責任的決定,幼兒園;國小;國中;高中職;大專,A1;B1;C1,跨領域,跨領域議題融入,待依教育階段與領域補填,依教育階段與學習領域進行課程融入；正式對應待審查。,建議對應／待審查,國家教育研究院,https://www.naer.edu.tw/,待國內頁面查核,公開閱讀,自主行動與溝通互動
SEL-083,國教院 議題融入,學術文獻與實證,社會覺察,幼兒園;國小;國中;高中職;大專,A2;B1;C2,跨領域,跨領域議題融入,待依教育階段與領域補填,依教育階段與學習領域進行課程融入；正式對應待審查。,建議對應／待審查,國家教育研究院,https://www.naer.edu.tw/,待國內頁面查核,公開閱讀,生命／品德／家庭等議題
SEL-089,國教院 教育研究資料,學術文獻與實證,自我覺察;自我管理;社會覺察;人際關係;負責任的決定,幼兒園;國小;國中;高中職;大專,A1;B1;C1,跨領域,跨領域議題融入,待依教育階段與領域補填,依教育階段與學習領域進行課程融入；正式對應待審查。,建議對應／待審查,國家教育研究院,https://www.naer.edu.tw/,待國內頁面查核,公開閱讀,研究摘要索引
SEL-090,國教院 教材與教學資源,教學活動與教案,自我覺察;自我管理;社會覺察;人際關係;負責任的決定,幼兒園;國小;國中;高中職;大專,A2;B1;C2,跨領域,跨領域議題融入,待依教育階段與領域補填,依教育階段與學習領域進行課程融入；正式對應待審查。,建議對應／待審查,國家教育研究院,https://www.naer.edu.tw/,待國內頁面查核,公開閱讀,教材索引
SEL-091,全國教師在職進修課程,研習模組與講師素材,自我覺察;自我管理;社會覺察;人際關係;負責任的決定,幼兒園;國小;國中;高中職;大專,A2;B1;C2,綜合活動領域,跨領域議題融入,待依教育階段與領域補填,依教育階段與學習領域進行課程融入；正式對應待審查。,建議對應／待審查,教師在職進修網,https://www1.inservice.edu.tw/,待國內頁面查核,依課程授權,研習搜尋入口
SEL-092,教師 SEL 入門研習,研習模組與講師素材,自我覺察,幼兒園;國小;國中;高中職;大專,A2;B1;C2,綜合活動領域,跨領域議題融入,待依教育階段與領域補填,依教育階段與學習領域進行課程融入；正式對應待審查。,建議對應／待審查,教師在職進修網,https://www1.inservice.edu.tw/,待課程查核,依課程授權,需以關鍵詞查詢
SEL-093,教師情緒與壓力調節研習,研習模組與講師素材,自我管理,幼兒園;國小;國中;高中職;大專,A2;B1;C2,綜合活動領域,跨領域議題融入,待依教育階段與領域補填,依教育階段與學習領域進行課程融入；正式對應待審查。,建議對應／待審查,教師在職進修網,https://www1.inservice.edu.tw/,待課程查核,依課程授權,需確認主辦單位
SEL-095,修復式實踐研習,研習模組與講師素材,人際關係,國中;高中職,A2;B1;C2,綜合活動領域,跨領域議題融入,待依教育階段與領域補填,依教育階段與學習領域進行課程融入；正式對應待審查。,建議對應／待審查,教師在職進修網,https://www1.inservice.edu.tw/,待課程查核,依課程授權,需確認專業資格
SEL-096,教師專業學習社群案例,學術文獻與實證,自我覺察;自我管理;社會覺察;人際關係;負責任的決定,幼兒園;國小;國中;高中職;大專,A2;B1;C2,跨領域,跨領域議題融入,待依教育階段與領域補填,依教育階段與學習領域進行課程融入；正式對應待審查。,建議對應／待審查,教師在職進修網,https://www1.inservice.edu.tw/,待國內頁面查核,依案例授權,保存共備經驗
SEL-097,縣市 SEL 推動計畫,學術文獻與實證,自我覺察;自我管理;社會覺察;人際關係;負責任的決定,幼兒園;國小;國中;高中職;大專,A1;B1;C1,跨領域,跨領域議題融入,待依教育階段與領域補填,依教育階段與學習領域進行課程融入；正式對應待審查。,建議對應／待審查,縣市教育局／處,https://www.edu.tw/,待逐縣市查核,依發布單位授權,需建立縣市來源表
SEL-098,學校 SEL 行動研究,學術文獻與實證,自我覺察;自我管理;社會覺察;人際關係;負責任的決定,幼兒園;國小;國中;高中職;大專,A2;B1;C2,跨領域,跨領域議題融入,待依教育階段與領域補填,依教育階段與學習領域進行課程融入；正式對應待審查。,建議對應／待審查,大專校院／學校,https://www.naer.edu.tw/,待研究查核,依論文／作者授權,需記錄研究設計
SEL-099,臺灣 SEL 教案與公開授課,教學活動與教案,自我覺察;自我管理;社會覺察;人際關係;負責任的決定,幼兒園;國小;國中;高中職;大專,A2;B1;C2,跨領域,跨領域議題融入,待依教育階段與領域補填,依教育階段與學習領域進行課程融入；正式對應待審查。,建議對應／待審查,學校／教師社群,https://www.edu.tw/,待投稿與授權,依作者授權,不得未經同意重製
SEL-100,臺灣 SEL 評量與教師反思工具,評量工具與量表,自我覺察;自我管理;社會覺察;人際關係;負責任的決定,幼兒園;國小;國中;高中職;大專,A2;B1;C2,跨領域,跨領域議題融入,待依教育階段與領域補填,依教育階段與學習領域進行課程融入；正式對應待審查。,建議對應／待審查,師培／研究機構,https://www.naer.edu.tw/,待信效度查核,依工具授權,需標示適用限制

